x,y,time
41.1067494964099,4.0955177821364,0.00554
36.0554533563874,1.48467784064241,0.00555
29.0292010776794,0.399492694219664,0.00556
22.1648064808601,2.01833534024231,0.00557
17.165941526483,4.72900349693605,0.00558
12.0323387890037,9.80194862074858,0.00559
10.8576734600368,15.248825781619,0.0056
11.8216300817368,18.5431400928935,0.00561
13.1852787708998,20.5414774426204,0.00562
14.0940777336841,20.864363686437,0.00563
19.9764275324252,11.517358037114,0.00568
21.4865801519787,8.76229949807933,0.00569
23.4796194026757,5.8552314162361,0.0057
29.8765228715314,-2.95362468249734,0.00572
41.4613654767473,-25.4745175799102,0.00575
44.7150161894225,-33.6553601779392,0.00576
47.838455359246,-41.7274643417731,0.00577
51.1481894740281,-50.924670014491,0.00578
53.3809190933299,-59.0655704385032,0.00579
57.1591296465206,-75.0045167021801,0.00581
59.6884641003291,-81.1504069140917,0.00582
62.4384477773034,-87.1797899732246,0.00583
65.2119555432216,-94.407507260471,0.00584
66.6579632480856,-100.829686068279,0.00585
67.0251481494944,-106.512899375384,0.00586
67.4375384885546,-110.93231238564,0.00587
68.4829127648036,-112.654356546838,0.00588
70.5320406909234,-113.030484605876,0.00589
73.8752062358149,-112.920609973708,0.0059
81.2940070696306,-112.017355304093,0.00592
84.4237567877933,-111.645620198834,0.00593
84.7574414809995,-111.761012263069,0.00594
84.9500580867194,-112.021759298455,0.00595
85.2204398593942,-111.874183932924,0.00596
85.8109294554406,-110.550461582447,0.00597
88.2461586856313,-107.770965562085,0.00598
91.3134732638303,-103.782031385254,0.00599
94.6927673533601,-99.989486636274,0.006
99.6310341491012,-94.3861053947143,0.00601
104.371257344883,-88.9513782897725,0.00602
109.349298810072,-83.2048565759469,0.00603
120.824555011295,-70.9517287419816,0.00605
124.740928546115,-64.1810797303428,0.00606
127.185995554467,-55.5175240846968,0.00607
127.145061206709,-38.682021965963,0.00609
125.690833702698,-28.9056229273188,0.0061
120.546143739607,-12.4907179866718,0.00612
116.011086328962,-5.92656313992151,0.00613
110.129561576368,0.715247152857368,0.00614
104.675773816622,7.01753806573202,0.00615
99.0149082616538,13.8302322377887,0.00616
92.2960323214912,21.962197651679,0.00617
85.9307486010024,29.3163631529332,0.00618
79.2191373076729,36.6993790228941,0.00619
71.5083051426946,45.0022254368823,0.0062
64.5724561155113,52.5860829302949,0.00621
57.6348104311869,60.1666172148963,0.00622
49.150867622205,68.0533896260081,0.00623
40.4788609798578,73.8086853982639,0.00624
31.2679219132601,78.8649586760283,0.00625
20.8904824108036,84.1564675807797,0.00626
12.9663450234735,87.8424440880116,0.00627
3.84224638604562,92.5192731432613,0.00628
-3.31234181763264,97.638829118012,0.00629
-7.56512115528515,101.750898344521,0.0063
-12.364978140949,106.853816448402,0.00631
-16.8673250603324,112.017762974899,0.00632
-20.0756617428672,115.927894610757,0.00633
-23.0118114570114,119.638304106061,0.00634
-23.7352221395954,121.019720771822,0.00635
-24.2370891978141,121.601136856237,0.00637
-24.5020362602976,122.829431675324,0.00638
-25.1268757999965,126.148157575432,0.00639
-25.772506418846,131.733735320773,0.0064
-24.9342360017742,137.118476670611,0.00641
-23.2875554573784,141.612231172438,0.00642
-20.8912422308493,145.443570844587,0.00643
-18.6233389721856,148.193080575628,0.00644
-17.028211035626,150.465477005487,0.00645
-17.2967747779812,151.95784936276,0.00647
-20.0213215459451,153.157300420203,0.00648
-24.5607252633822,154.729572729264,0.00649
-29.213161058173,156.10212511054,0.0065
-36.695949187902,155.76151489621,0.00652
-39.4829037075682,153.073038413466,0.00653
-47.17918132634,137.685557488442,0.00656
-47.9044846596919,122.53327204491,0.00658
-47.0680897884114,112.602615323776,0.00659
-44.7550138945589,104.002325751214,0.0066
-41.397499267997,95.8036963104608,0.00661
-32.3647978396734,80.5559473224461,0.00663
-28.647359581573,73.1972661887844,0.00664
-24.8919385503952,64.8111247737745,0.00665
-21.3065097425544,58.1980782932423,0.00666
-17.4760156411139,52.3162394535576,0.00667
-13.5333855245211,46.9425851946628,0.00668
-10.4543323271801,43.1145646597796,0.00669
-7.65017554217704,40.3128976555519,0.0067
-4.51053002933848,38.3533949651865,0.00671
-3.55471008088652,38.1847398977388,0.00672
-3.48417655148496,38.1292613728247,0.00673
-3.7012025556906,38.8615776291443,0.00675
-2.3221812499004,39.1511749176584,0.00676
0.417775615352274,38.7927835285398,0.00677
3.61077528568414,37.9983321697147,0.00678
7.91151521929126,35.9511784090123,0.00679
21.3825515405928,23.8901754555979,0.00682
24.777224550577,18.7539851243104,0.00683
27.8581175893474,13.351498360756,0.00684
30.9146029039726,6.78396423355145,0.00685
31.8297563465062,0.490487038979722,0.00686
31.8578121368891,-5.93836075800003,0.00687
30.7989477835739,-19.8823290001903,0.00689
32.1861645734666,-33.0684520852343,0.00691
34.4794534610476,-39.6992327432171,0.00692
36.1903806320268,-44.9419433052134,0.00693
